,event_date,year,month,day,country_code,latitude,longitude,witness,issue
18106,2021-07-05,2021,7,5,IT,45.14138,10.02451,Aleksandar Cvetkovikj;Karin Bakran-Lebl;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18107,2019-09-26,2019,9,26,ES,41.4565,1.95821,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18109,2021-06-19,2021,6,19,IT,42.84507,10.99539,Aleksandar Cvetkovikj;Cintia Horváth;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18112,2018-07-26,2018,7,26,ES,38.01413,-1.1536,Ignacio Ruiz-Arrondo;Daniel Bravo-Barriga;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18114,2019-07-17,2019,7,17,IT,45.80331,8.61001,Ignacio Ruiz-Arrondo;Roger Eritja;Maria Angeles Puig;Mikel Bengoa Paulis,CONTINENT_DERIVED_FROM_COORDINATES
18116,2018-08-15,2018,8,15,ES,41.38875,2.17996,Mikel Bengoa Paulis;Maria Angeles Puig;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18117,2020-08-03,2020,8,3,ES,42.04716,3.136,Maria Angeles Puig;Rafael Gutiérrez-López;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18118,2018-06-21,2018,6,21,ES,41.52906,2.1187,Sarah Delacour;Rosario Melero-Alcíbar;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18121,2020-04-26,2020,4,26,ES,41.41148,2.15696,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja;Simone Mariani,CONTINENT_DERIVED_FROM_COORDINATES
18123,2020-09-10,2020,9,10,ES,41.39137,2.19214,Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18124,2018-09-23,2018,9,23,ES,37.89554,-1.21103,Rosario Melero-Alcíbar;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18125,2018-07-23,2018,7,23,ES,41.15664,1.41877,Daniel Bravo-Barriga;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18126,2019-07-22,2019,7,22,ES,41.95902,2.81732,Ignacio Ruiz-Arrondo;Pedro María Alarcón-Elbal;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18127,2021-07-16,2021,7,16,ES,41.69333,2.45437,Sarah Delacour;Simone Mariani;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18128,2018-06-29,2018,6,29,ES,37.60319,-1.31502,Ignacio Ruiz-Arrondo;Rosario Melero-Alcíbar;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18129,2020-07-18,2020,7,18,ES,41.98038,2.81526,Ignacio Ruiz-Arrondo;Laura Blanco-Sierra;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18130,2019-09-15,2019,9,15,ES,37.99652,-1.18691,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18131,2020-07-27,2020,7,27,ES,41.68039,2.41687,Maria Angeles Puig;Francisco Collantes;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18132,2018-06-24,2018,6,24,ES,37.96671,-1.11669,Sarah Delacour;Roger Eritja;Santi Escartin Peña;Ignacio Ruiz-Arrondo,CONTINENT_DERIVED_FROM_COORDINATES
18133,2020-08-24,2020,8,24,ES,41.70584,2.42803,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Rafael Gutiérrez-López;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18136,2021-09-19,2021,9,19,IT,46.50081,11.3325,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18138,2021-09-12,2021,9,12,ES,41.53759,2.42887,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18140,2021-02-28,2021,2,28,ES,41.07661,1.10305,Roger Eritja;Ignacio Ruiz-Arrondo;Carlos Barceló;Daniel Bravo-Barriga,CONTINENT_DERIVED_FROM_COORDINATES
18141,2020-07-09,2020,7,9,ES,41.68221,2.80428,Simone Mariani;Maria Angeles Puig;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18143,2020-06-04,2020,6,4,ES,37.8549,-1.42524,Ignacio Ruiz-Arrondo;Sarah Delacour;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18144,2020-06-17,2020,6,17,ES,38.39761,-0.52482,Sarah Delacour;Mikel Bengoa Paulis;Roger Eritja;Santi Escartin Peña,CONTINENT_DERIVED_FROM_COORDINATES
18151,2019-06-30,2019,6,30,ES,41.42473,1.85074,Ignacio Ruiz-Arrondo;Rosario Melero-Alcíbar;Simone Mariani;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18157,2020-10-06,2020,10,6,IT,44.49804,11.42784,Elton Rogozi;Karin Bakran-Lebl;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18158,2018-07-06,2018,7,6,ES,41.41833,2.14282,Daniel Bravo-Barriga;Maria Angeles Puig;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18160,2020-09-06,2020,9,6,GT,14.60836,-90.54482,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18164,2021-05-12,2021,5,12,IT,41.9118,12.41204,Ognyan Mikov;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18165,2018-09-12,2018,9,12,ES,36.7219,-4.47806,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18168,2020-10-25,2020,10,25,ES,41.27306,1.72518,Sarah Delacour;Daniel Bravo-Barriga;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18169,2021-07-05,2021,7,5,IT,46.50083,11.33245,Perparim Kadriaj;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18170,2018-08-02,2018,8,2,ES,38.83205,0.13917,Sarah Delacour;Daniel Bravo-Barriga;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18171,2020-08-30,2020,8,30,XK,42.22403,20.73436,Elton Rogozi;Mihaela Kavran;Ognyan Mikov;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18172,2020-07-02,2020,7,2,ES,41.72902,2.56321,Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18173,2020-05-06,2020,5,6,ES,41.45513,2.2545,Sarah Delacour;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18174,2021-06-09,2021,6,9,IT,45.57194,12.09996,Ognyan Mikov;Diego Parrondo Montón;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18176,2018-08-25,2018,8,25,ES,40.05548,0.08112,Maria Angeles Puig;Daniel Bravo-Barriga;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18178,2020-06-09,2020,6,9,ES,41.98283,2.82584,Sarah Delacour;Rosario Melero-Alcíbar;Roger Eritja;Simone Mariani,CONTINENT_DERIVED_FROM_COORDINATES
18179,2021-07-17,2021,7,17,ES,39.42326,-0.60774,Simone Mariani;Sarah Delacour;Francisco Collantes;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18180,2021-07-02,2021,7,2,IT,39.68735,9.64197,Mihaela Kavran;Gábor Kemenesi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18181,2020-06-15,2020,6,15,ES,41.07831,1.09069,Isis Sanpera-Calbet;Daniel Bravo-Barriga;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18184,2020-08-04,2020,8,4,ES,41.38537,2.08612,Rafael Gutiérrez-López;Maria Angeles Puig;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18192,2019-09-29,2019,9,29,ES,41.74936,2.1154,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
